STATE,COUNTYNAME,shapefile_latitude,shapefile_longitude,nc_latitude,nc_longitude,population_projection_2020
PR,Guaynabo,18.34424133283087,-66.11447160468295,18.312500000249997,-66.06249999990001,0.0
PR,Gurabo,18.26632164443447,-65.9791341369189,18.312500000249997,-65.93749999990001,0.0
PR,Hatillo,18.410603551140756,-66.79635142067613,18.437500000249997,-66.81249999990001,0.0
PR,Hormigueros,18.13406868031425,-67.11398946256955,18.187500000249997,-67.06249999990001,0.0
PR,Mayaguez,18.17161682651981,-67.33704773015255,18.187500000249997,-67.31249999990001,
PR,Naguabo,18.230581466853874,-65.7541676904346,18.187500000249997,-65.81249999990001,0.0
PR,Jayuya,18.21060576426235,-66.5884539285433,18.187500000249997,-66.56249999990001,0.0
PR,Juana Diaz,18.05072588145617,-66.49510368433471,18.062500000249997,-66.43749999990001,0.0
PR,Juncos,18.223573827541614,-65.90891908867307,18.187500000249997,-65.93749999990001,0.0
PR,Lajas,18.012284497648714,-67.04043223789229,18.062500000249997,-67.06249999990001,0.0
PR,Lares,18.26891491497648,-66.86687341790204,18.312500000249997,-66.81249999990001,0.0
PR,Las Piedras,18.187598912605353,-65.86926889944203,18.187500000249997,-65.81249999990001,0.0
PR,Manati,18.420391713732833,-66.49023575249372,18.437500000249997,-66.43749999990001,90.0
PR,Maricao,18.172105360333216,-66.94236623870187,18.187500000249997,-66.93749999990001,49.0
PR,Maunabo,18.018045635875836,-65.92189198106117,18.062500000249997,-65.93749999990001,0.0
PR,Moca,18.37789682751966,-67.08079402174336,18.437500000249997,-67.06249999990001,0.0
PR,Morovis,18.317076417667167,-66.42024251878333,18.312500000249997,-66.43749999990001,0.0
PR,Naranjito,18.288370708086354,-66.25258497236597,18.312500000249997,-66.31249999990001,0.0
PR,Orocovis,18.21486178568569,-66.43387816547038,18.187500000249997,-66.43749999990001,113.0
PR,Patillas,18.031708910231796,-66.01218731079689,18.062500000249997,-66.06249999990001,0.0
PR,Penuelas,18.060816196877575,-66.72109946755921,18.062500000249997,-66.68749999990001,0.0
PR,Ponce,18.059659986669235,-66.61405162265086,18.062500000249997,-66.56249999990001,0.0
PR,Sabana Grande,18.083022252763456,-66.9435146371527,18.062500000249997,-66.93749999990001,132.0
PR,Salinas,18.011488537499094,-66.25637530534601,18.062500000249997,-66.31249999990001,0.0
PR,San German,18.111119770497798,-67.03845981772139,18.062500000249997,-67.06249999990001,0.0
PR,San Juan,18.386406573798542,-66.06066637424273,18.437500000249997,-66.06249999990001,1801.0
PR,San Lorenzo,18.147991263517234,-65.97644174569989,18.187500000249997,-65.93749999990001,0.0
PR,Santa Isabel,17.994994629810538,-66.38887695945942,17.937500000249997,-66.43749999990001,76.0
PR,Trujillo Alto,18.336198910992266,-65.999215741496,18.312500000249997,-65.93749999990001,0.0
PR,Utuado,18.271003052435393,-66.70240256079491,18.312500000249997,-66.68749999990001,0.0
PR,Vega Alta,18.409293976062575,-66.33718686356548,18.437500000249997,-66.31249999990001,194.0
PR,Villalba,18.128028425305143,-66.47287533416227,18.187500000249997,-66.43749999990001,113.0
PR,Yabucoa,18.07057139090723,-65.8965244272462,18.062500000249997,-65.93749999990001,0.0
PR,Yauco,18.080112131491955,-66.85863803167037,18.062500000249997,-66.81249999990001,0.0
PR,San Sebastian,18.328761914995088,-66.97122732501569,18.312500000249997,-66.93749999990001,0.0
PR,Adjuntas,18.17977582067712,-66.75419212184914,18.187500000249997,-66.81249999990001,0.0
PR,Aguas Buenas,18.251651584159628,-66.12679959405556,18.312500000249997,-66.18749999990001,0.0
PR,Aibonito,18.131056541748723,-66.26437880798778,18.187500000249997,-66.31249999990001,173.0
VI,Saint Croix,17.733278801794853,-64.7677101920552,17.687500000249997,-64.81249999990001,347.0
PR,Arecibo,18.406757737883915,-66.67515270203236,18.437500000249997,-66.68749999990001,103.0
PR,Las Marias,18.237131312519974,-66.98349093344214,18.187500000249997,-66.93749999990001,49.0
PR,Rincon,18.337390887381112,-67.24140642314215,18.312500000249997,-67.18749999990001,0.0
PR,Aguadilla,18.459709721250164,-67.12074520099735,18.437500000249997,-67.06249999990001,0.0
PR,Isabela,18.44993558522538,-67.00522036587252,18.437500000249997,-67.06249999990001,0.0
PR,Camuy,18.418826298968213,-66.86024531660779,18.437500000249997,-66.81249999990001,0.0
PR,Dorado,18.436461800132445,-66.27874179186097,18.437500000249997,-66.31249999990001,194.0
PR,Toa Alta,18.362553248341673,-66.24639760476002,18.312500000249997,-66.18749999990001,0.0
PR,Aguada,18.360262061344084,-67.17475826927539,18.312500000249997,-67.18749999990001,0.0
PR,Culebra,18.31585297065412,-65.28768124895946,18.312500000249997,-65.31249999990001,61.0
PR,Cabo Rojo,18.0415141891683,-67.15366931009247,18.062500000249997,-67.18749999990001,193.0
PR,Fajardo,18.31763934500125,-65.66856359728637,18.312500000249997,-65.68749999990001,0.0
PR,Vieques,18.123144289621543,-65.44143647621115,18.062500000249997,-65.43749999990001,85.0
PR,Carolina,18.37418862700036,-65.95670572581913,18.312500000249997,-65.93749999990001,0.0
VI,Saint Thomas,18.345319817649607,-64.93017975927913,18.312500000249997,-64.93749999990001,251.0
PR,Quebradillas,18.43969615952838,-66.92595127318543,18.437500000249997,-66.93749999990001,0.0
PR,Catano,18.437426195284434,-66.14401471566146,18.437500000249997,-66.18749999990001,372.0
PR,Luquillo,18.342197088960724,-65.72490525202582,18.312500000249997,-65.68749999990001,0.0
PR,Humacao,18.14519154970315,-65.81052609159961,18.187500000249997,-65.81249999990001,0.0
VI,Saint John,18.339020593725053,-64.73845752591137,18.312500000249997,-64.68749999990001,137.0
PR,Rio Grande,18.35527220131431,-65.82017449282085,18.312500000249997,-65.81249999990001,0.0
PR,Loiza,18.433997147739664,-65.92470453642612,18.437500000249997,-65.93749999990001,11.0
CT,Hartford,41.80642737908949,-72.73280494171954,41.81250000025,-72.68749999990001,0.0
CT,Tolland,41.85502498987457,-72.33646670835165,41.81250000025,-72.31249999990001,0.0
CT,Windham,41.82994971897516,-71.98754012924604,41.81250000025,-71.93749999990001,1593.0
MA,Nantucket,41.27806626578551,-70.07444010855481,41.31250000025,-70.06249999990001,1505.0
MD,Garrett,39.528602827413614,-79.27386837598081,39.56250000025,-79.31249999990001,3118.0
VT,Windsor,43.57981568564986,-72.58547224123599,43.56250000025,-72.56249999990001,3294.0
NH,Sullivan,43.361232238630976,-72.22233402861302,43.31250000025,-72.18749999990001,1994.0
NH,Belknap,43.51875006796911,-71.42328952095822,43.56250000025,-71.43749999990001,0.0
NH,Cheshire,42.91931413089183,-72.2511747797429,42.93750000025,-72.31249999990001,0.0
NH,Strafford,43.29747055768306,-71.02932454083121,43.31250000025,-71.06249999990001,2097.0
NY,Yates,42.63346833271699,-77.10545968099989,42.68750000025,-77.06249999990001,3752.0
NY,Allegany,42.25740695827976,-78.02757505950338,42.31250000025,-78.06249999990001,1999.0
NY,Broome,42.16021812691492,-75.81961440769938,42.18750000025,-75.81249999990001,834.0
NY,Cattaraugus,42.248593290501,-78.67891314505253,42.18750000025,-78.68749999990001,2051.0
